time_step,total_population,resource_concentration,mutation_frequency,cooperation_index,competition_index,genotype_A_density,genotype_A'_density,genotype_A''_density,genotype_A'''_density,genotype_A''''_density,genotype_A'''''_density,genotype_A''''''_density,genotype_A'''''''_density,genotype_A''''''''_density,genotype_A'''''''''_density,genotype_A''''''''''_density,genotype_A'''''''''''_density,genotype_A''''''''''''_density,genotype_A'''''''''''''_density,genotype_A''''''''''''''_density,genotype_A'''''''''''''''_density,genotype_A''''''''''''''''_density,genotype_A'''''''''''''''''_density,genotype_A''''''''''''''''''_density,genotype_A'''''''''''''''''''_density,genotype_A''''''''''''''''''''_density,genotype_A'''''''''''''''''''''_density
0,125,900,2,1.25,2.5,0.936,0.064,,,,,,,,,,,,,,,,,,,,
1,150,775,3,1.5,3.0,0.8866666666666667,0.10666666666666667,0.006666666666666667,,,,,,,,,,,,,,,,,,,
2,174,625,3,1.74,3.48,0.8390804597701149,0.15517241379310345,0.005747126436781609,,,,,,,,,,,,,,,,,,,
3,203,451,3,2.0300000000000002,4.0600000000000005,0.7980295566502463,0.18719211822660098,0.014778325123152709,,,,,,,,,,,,,,,,,,,
4,243,248,3,2.43,4.86,0.7942386831275721,0.18106995884773663,0.024691358024691357,,,,,,,,,,,,,,,,,,,
5,305,5,3,3.0500000000000003,6.1000000000000005,0.760655737704918,0.21311475409836064,0.02622950819672131,,,,,,,,,,,,,,,,,,,
6,306,0,3,3.06,6.12,0.7222222222222222,0.24183006535947713,0.03594771241830065,,,,,,,,,,,,,,,,,,,
7,304,0,3,3.04,6.08,0.6875,0.26644736842105265,0.046052631578947366,,,,,,,,,,,,,,,,,,,
8,302,0,3,3.02,6.04,0.6556291390728477,0.2847682119205298,0.059602649006622516,,,,,,,,,,,,,,,,,,,
9,302,0,4,3.02,6.04,0.6192052980132451,0.3079470198675497,0.06622516556291391,0.006622516556291391,,,,,,,,,,,,,,,,,,
10,302,0,4,3.02,6.04,0.5894039735099338,0.3211920529801324,0.07947019867549669,0.009933774834437087,,,,,,,,,,,,,,,,,,
11,301,0,4,3.0100000000000002,6.0200000000000005,0.5514950166112956,0.33554817275747506,0.09966777408637874,0.013289036544850499,,,,,,,,,,,,,,,,,,
12,301,0,4,3.0100000000000002,6.0200000000000005,0.5016611295681063,0.3654485049833887,0.11627906976744186,0.016611295681063124,,,,,,,,,,,,,,,,,,
13,300,0,4,3.0,6.0,0.46,0.38333333333333336,0.12666666666666668,0.03,,,,,,,,,,,,,,,,,,
14,299,0,5,2.99,5.98,0.4280936454849498,0.39464882943143814,0.13712374581939799,0.03678929765886288,0.0033444816053511705,,,,,,,,,,,,,,,,,
15,298,0,5,2.98,5.96,0.40604026845637586,0.40268456375838924,0.1476510067114094,0.040268456375838924,0.003355704697986577,,,,,,,,,,,,,,,,,
16,298,0,5,2.98,5.96,0.3959731543624161,0.38926174496644295,0.16778523489932887,0.0436241610738255,0.003355704697986577,,,,,,,,,,,,,,,,,
17,297,0,5,2.97,5.94,0.36363636363636365,0.40404040404040403,0.1717171717171717,0.05387205387205387,0.006734006734006734,,,,,,,,,,,,,,,,,
18,297,0,5,2.97,5.94,0.3434343434343434,0.4074074074074074,0.18181818181818182,0.05723905723905724,0.010101010101010102,,,,,,,,,,,,,,,,,
19,296,0,5,2.96,5.92,0.32432432432432434,0.4189189189189189,0.18243243243243243,0.057432432432432436,0.016891891891891893,,,,,,,,,,,,,,,,,
20,295,0,6,2.95,5.9,0.3050847457627119,0.4101694915254237,0.2033898305084746,0.061016949152542375,0.01694915254237288,0.003389830508474576,,,,,,,,,,,,,,,,
21,293,0,6,2.93,5.86,0.2832764505119454,0.4129692832764505,0.21843003412969283,0.06484641638225255,0.013651877133105802,0.006825938566552901,,,,,,,,,,,,,,,,
22,292,0,7,2.92,5.84,0.2636986301369863,0.4178082191780822,0.2226027397260274,0.07534246575342465,0.0136986301369863,0.003424657534246575,0.003424657534246575,,,,,,,,,,,,,,,
23,289,0,7,2.89,5.78,0.2491349480968858,0.4083044982698962,0.2422145328719723,0.0726643598615917,0.020761245674740483,0.0034602076124567475,0.0034602076124567475,,,,,,,,,,,,,,,
24,289,0,7,2.89,5.78,0.2422145328719723,0.39792387543252594,0.2560553633217993,0.07612456747404844,0.020761245674740483,0.0034602076124567475,0.0034602076124567475,,,,,,,,,,,,,,,
25,288,0,7,2.88,5.76,0.23958333333333334,0.3993055555555556,0.2465277777777778,0.08333333333333333,0.024305555555555556,0.003472222222222222,0.003472222222222222,,,,,,,,,,,,,,,
26,285,0,7,2.85,5.7,0.23508771929824562,0.37543859649122807,0.2596491228070175,0.0912280701754386,0.031578947368421054,0.0035087719298245615,0.0035087719298245615,,,,,,,,,,,,,,,
27,285,0,7,2.85,5.7,0.22807017543859648,0.36140350877192984,0.2596491228070175,0.10877192982456141,0.031578947368421054,0.007017543859649123,0.0035087719298245615,,,,,,,,,,,,,,,
28,283,0,7,2.83,5.66,0.21908127208480566,0.3498233215547703,0.26501766784452296,0.10954063604240283,0.038869257950530034,0.014134275618374558,0.0035335689045936395,,,,,,,,,,,,,,,
29,281,0,7,2.81,5.62,0.21352313167259787,0.3238434163701068,0.27402135231316727,0.13523131672597866,0.03558718861209965,0.014234875444839857,0.0035587188612099642,,,,,,,,,,,,,,,
30,281,0,7,2.81,5.62,0.199288256227758,0.3238434163701068,0.2704626334519573,0.14590747330960854,0.03914590747330961,0.017793594306049824,0.0035587188612099642,,,,,,,,,,,,,,,
31,278,0,7,2.7800000000000002,5.5600000000000005,0.18705035971223022,0.3057553956834532,0.27697841726618705,0.15827338129496402,0.046762589928057555,0.02158273381294964,0.0035971223021582736,,,,,,,,,,,,,,,
32,277,0,7,2.77,5.54,0.18050541516245489,0.30685920577617326,0.26353790613718414,0.16606498194945848,0.05415162454873646,0.02527075812274368,0.0036101083032490976,,,,,,,,,,,,,,,
33,277,0,7,2.77,5.54,0.16967509025270758,0.2924187725631769,0.27075812274368233,0.16967509025270758,0.06859205776173286,0.02527075812274368,0.0036101083032490976,,,,,,,,,,,,,,,
34,273,0,7,2.73,5.46,0.16483516483516483,0.2783882783882784,0.28205128205128205,0.17216117216117216,0.0695970695970696,0.029304029304029304,0.003663003663003663,,,,,,,,,,,,,,,
35,271,0,6,2.71,5.42,0.15498154981549817,0.2767527675276753,0.2878228782287823,0.18081180811808117,0.06642066420664207,0.033210332103321034,,,,,,,,,,,,,,,,
36,270,0,7,2.7,5.4,0.15185185185185185,0.25555555555555554,0.29259259259259257,0.18518518518518517,0.07777777777777778,0.02962962962962963,0.007407407407407408,,,,,,,,,,,,,,,
37,270,0,7,2.7,5.4,0.14814814814814814,0.25555555555555554,0.2777777777777778,0.17407407407407408,0.1037037037037037,0.03333333333333333,0.007407407407407408,,,,,,,,,,,,,,,
38,269,0,7,2.69,5.38,0.137546468401487,0.24907063197026022,0.275092936802974,0.1895910780669145,0.10780669144981413,0.02973977695167286,0.011152416356877323,,,,,,,,,,,,,,,
39,267,0,7,2.67,5.34,0.1348314606741573,0.23220973782771537,0.27340823970037453,0.1947565543071161,0.11235955056179775,0.03745318352059925,0.0149812734082397,,,,,,,,,,,,,,,
40,266,0,7,2.66,5.32,0.12781954887218044,0.22932330827067668,0.2669172932330827,0.19172932330827067,0.12781954887218044,0.03759398496240601,0.018796992481203006,,,,,,,,,,,,,,,
41,264,0,7,2.64,5.28,0.125,0.21212121212121213,0.2689393939393939,0.20454545454545456,0.12878787878787878,0.03787878787878788,0.022727272727272728,,,,,,,,,,,,,,,
42,263,0,7,2.63,5.26,0.11406844106463879,0.21673003802281368,0.2737642585551331,0.19771863117870722,0.12927756653992395,0.045627376425855515,0.022813688212927757,,,,,,,,,,,,,,,
43,260,0,7,2.6,5.2,0.10384615384615385,0.21923076923076923,0.25769230769230766,0.2076923076923077,0.1346153846153846,0.05384615384615385,0.023076923076923078,,,,,,,,,,,,,,,
44,260,0,7,2.6,5.2,0.1,0.2153846153846154,0.25384615384615383,0.21153846153846154,0.13846153846153847,0.05384615384615385,0.026923076923076925,,,,,,,,,,,,,,,
45,259,0,8,2.59,5.18,0.09652509652509653,0.20463320463320464,0.24324324324324326,0.21235521235521235,0.15057915057915058,0.05405405405405406,0.03474903474903475,0.003861003861003861,,,,,,,,,,,,,,
46,257,0,8,2.57,5.14,0.0933852140077821,0.19455252918287938,0.23735408560311283,0.22568093385214008,0.14007782101167315,0.07003891050583658,0.03501945525291829,0.0038910505836575876,,,,,,,,,,,,,,
47,256,0,8,2.56,5.12,0.08984375,0.17578125,0.2421875,0.23046875,0.14453125,0.078125,0.03515625,0.00390625,,,,,,,,,,,,,,
48,255,0,8,2.5500000000000003,5.1000000000000005,0.0784313725490196,0.17647058823529413,0.23921568627450981,0.23529411764705882,0.1450980392156863,0.08627450980392157,0.03137254901960784,0.00784313725490196,,,,,,,,,,,,,,
49,254,0,8,2.54,5.08,0.07874015748031496,0.17716535433070865,0.21653543307086615,0.24015748031496062,0.15354330708661418,0.09055118110236221,0.031496062992125984,0.011811023622047244,,,,,,,,,,,,,,
50,254,0,8,2.54,5.08,0.07480314960629922,0.1732283464566929,0.21653543307086615,0.2440944881889764,0.14173228346456693,0.09448818897637795,0.04330708661417323,0.011811023622047244,,,,,,,,,,,,,,
51,253,0,9,2.5300000000000002,5.0600000000000005,0.05928853754940711,0.17786561264822134,0.22134387351778656,0.2450592885375494,0.15019762845849802,0.09090909090909091,0.039525691699604744,0.011857707509881422,0.003952569169960474,,,,,,,,,,,,,
52,250,0,9,2.5,5.0,0.056,0.172,0.216,0.236,0.168,0.088,0.048,0.012,0.004,,,,,,,,,,,,,
53,249,0,9,2.49,4.98,0.05220883534136546,0.1646586345381526,0.22088353413654618,0.23293172690763053,0.17269076305220885,0.08032128514056225,0.060240963855421686,0.012048192771084338,0.004016064257028112,,,,,,,,,,,,,
54,249,0,9,2.49,4.98,0.04819277108433735,0.1566265060240964,0.2248995983935743,0.21686746987951808,0.18473895582329317,0.09236947791164658,0.05622489959839357,0.01606425702811245,0.004016064257028112,,,,,,,,,,,,,
55,249,0,9,2.49,4.98,0.04819277108433735,0.14457831325301204,0.22088353413654618,0.2289156626506024,0.18072289156626506,0.10040160642570281,0.05622489959839357,0.01606425702811245,0.004016064257028112,,,,,,,,,,,,,
56,249,0,9,2.49,4.98,0.04417670682730924,0.14056224899598393,0.20883534136546184,0.23694779116465864,0.18875502008032127,0.08835341365461848,0.0642570281124498,0.020080321285140562,0.008032128514056224,,,,,,,,,,,,,
57,249,0,9,2.49,4.98,0.03614457831325301,0.14457831325301204,0.19678714859437751,0.24899598393574296,0.18072289156626506,0.0963855421686747,0.05622489959839357,0.0321285140562249,0.008032128514056224,,,,,,,,,,,,,
58,249,0,9,2.49,4.98,0.0321285140562249,0.13654618473895583,0.18875502008032127,0.2570281124497992,0.18875502008032127,0.08835341365461848,0.06827309236947791,0.028112449799196786,0.012048192771084338,,,,,,,,,,,,,
59,249,0,9,2.49,4.98,0.0321285140562249,0.13253012048192772,0.1927710843373494,0.24497991967871485,0.18875502008032127,0.0963855421686747,0.06827309236947791,0.028112449799196786,0.01606425702811245,,,,,,,,,,,,,
60,246,0,9,2.46,4.92,0.032520325203252036,0.12601626016260162,0.17886178861788618,0.25609756097560976,0.1951219512195122,0.09349593495934959,0.07723577235772358,0.024390243902439025,0.016260162601626018,,,,,,,,,,,,,
61,246,0,9,2.46,4.92,0.032520325203252036,0.11788617886178862,0.17479674796747968,0.25609756097560976,0.1951219512195122,0.1016260162601626,0.07317073170731707,0.032520325203252036,0.016260162601626018,,,,,,,,,,,,,
